code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E07000172,449656.8673784946,342281.7894138081,Broxtowe,1.1,3.8,13.3,34.4,47.3,4985,10317,31844,4768
E07000173,459167.2016550376,348280.4437034312,Gedling,1.1,3.9,13.2,34.7,47.0,5149,11699,33903,5438
E07000174,455324.46660862246,364072.2360774549,Mansfield,1.6,5.6,15.7,34.6,42.4,4360,10413,31414,5180
E07000175,472378.5679510397,359080.07611074933,Newark and Sherwood,1.2,4.3,13.7,34.8,46.0,5734,10882,33327,7171
E07000176,464834.8402066885,334124.8739451274,Rushcliffe,0.8,2.9,10.4,31.9,54.0,5799,10725,33528,6924
E07000177,449860.5780980473,229128.2386305836,Cherwell,0.8,3.1,11.6,34.8,49.7,7825,14807,52841,9499
E07000178,452442.6529760527,206500.28402490867,Oxford,1.0,3.4,12.1,33.4,50.0,8857,12717,43899,7853
E07000179,464398.2671453776,193175.56103012688,South Oxfordshire,0.7,2.5,10.0,33.0,53.9,8124,13391,45106,9855
E07000180,438786.41314414033,192973.20160161427,Vale of White Horse,0.6,2.6,10.7,34.0,52.1,6631,12180,43896,8157
E07000181,434065.9077792852,215552.59561515783,West Oxfordshire,0.7,2.6,10.6,33.9,52.2,6256,10579,34764,7327
E07000187,362058.8281063044,144989.084419896,Mendip,0.9,3.4,12.1,34.1,49.5,7295,12210,28981,7182
E07000188,333467.3106512761,143278.34108066003,Sedgemoor,1.1,4.0,13.1,35.4,46.3,6263,12027,33555,7302
E07000189,350243.46082098887,121190.14743329292,South Somerset,1.0,3.5,12.3,35.0,48.3,8630,16839,45912,9548
E07000192,401415.0297774093,312743.9965200874,Cannock Chase,1.5,4.9,14.7,35.7,43.3,4216,9390,29813,5458
E07000193,412760.7074749232,329519.9695705418,East Staffordshire,1.1,3.8,13.4,35.9,45.7,5484,10958,36028,6848
E07000194,413295.05321917566,310037.7305900092,Lichfield,1.0,3.5,12.0,34.3,49.3,5262,9415,29257,6538
E07000195,378750.8089896587,344080.9006010048,Newcastle-under-Lyme,1.3,4.6,13.9,35.3,44.8,5257,11231,34557,5637
E07000196,388138.6464655684,303023.2991254348,South Staffordshire,1.0,3.6,12.4,34.8,48.2,5183,9920,29642,5954
E07000197,388228.47799157817,327865.0816425107,Stafford,1.0,3.5,12.4,34.5,48.5,6261,12044,39195,8266
E07000198,401329.88587576355,353541.4347515159,Staffordshire Moorlands,1.1,3.7,12.4,34.4,48.3,4598,8957,25615,5865
E07000199,421984.7218480682,303222.8381291372,Tamworth,1.4,4.5,14.3,35.2,44.6,3248,7059,24114,3737
E07000200,599985.1123907055,243164.45031926353,Babergh,0.8,3.0,11.7,35.0,49.5,5421,8912,23369,5255
E07000202,616696.6175592209,244358.32879264397,Ipswich,1.2,4.3,14.5,36.6,43.4,6730,14038,39598,6660
E07000203,611211.7709140928,265458.5714445223,Mid Suffolk,0.7,3.0,11.5,35.1,49.7,5744,9965,27543,6771
