code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E06000020,367109.3595971868,314837.4536089469,Telford and Wrekin,1.5,5.0,14.6,34.7,44.2,7164,15467,54198,8668
E06000021,389016.57091497513,346719.5491718128,Stoke-on-Trent,1.9,6.1,15.9,35.9,40.2,9224,22985,70790,9581
E06000022,367056.477436553,161999.73328473538,Bath and North East Somerset,0.9,3.2,11.3,33.1,51.4,12067,18817,49585,9343
E06000023,346536.53704290406,172914.33969592646,Bristol,1.5,4.8,13.6,33.5,46.7,24727,46279,147056,20448
E06000024,344429.37228083,165884.44072622436,North Somerset,1.1,3.8,12.3,33.6,49.4,11232,21733,58675,11062
E06000025,367430.62887254066,183264.41036353816,South Gloucestershire,0.9,3.3,12.1,34.6,48.9,14192,29592,90398,13430
E06000026,249392.8708770357,56737.21259556794,Plymouth,1.5,5.1,14.4,34.1,44.8,11999,26127,71595,11297
E06000027,291418.41591563355,61226.63520658269,Torbay,1.4,5.0,14.4,33.7,45.4,6943,14221,32078,5693
E06000030,417819.0556296862,185856.4045221818,Swindon,1.0,3.8,13.2,35.7,46.2,9588,20643,77579,10056
E06000031,518340.26515135687,302621.27929624915,Peterborough,1.3,4.7,14.8,37.0,42.3,8768,19404,62866,9930
E06000032,508517.3040161952,222910.7218424565,Luton,1.5,4.7,14.8,36.0,43.1,10454,20566,59062,8639
E06000033,589363.4776342117,185607.6400784952,Southend-on-Sea,1.3,4.3,13.4,34.8,46.2,9518,16235,48451,9055
E06000034,564862.61180022,181235.96955592808,Thurrock,1.2,4.1,13.6,34.7,46.4,7878,15103,53072,9895
E06000035,578771.9429449722,172762.06524963243,Medway,1.2,4.4,13.9,35.4,45.2,12782,24090,79935,15802
E06000036,487739.3616693688,168395.50126788105,Bracknell Forest,0.8,2.9,10.9,34.8,50.6,5918,10654,42029,7796
E06000037,448412.73452351993,172532.51559614032,West Berkshire,0.7,2.7,10.9,34.8,50.9,8512,13838,49764,10193
E06000038,470641.85750461806,173183.99958509443,Reading,1.0,3.7,12.9,35.6,46.8,8681,13984,57921,8277
E06000039,498174.61172284686,179748.72991401763,Slough,1.2,4.3,14.3,35.5,44.7,7492,13480,46355,6373
E06000040,490432.4867414315,177041.36185770537,Windsor and Maidenhead,0.7,2.4,9.5,32.2,55.2,8051,12021,44700,11530
E06000041,477672.7366054393,170614.70150723567,Wokingham,0.6,2.2,9.7,34.0,53.5,9149,14047,55608,10663
E06000042,486882.0720577125,243631.0617435136,Milton Keynes,1.1,3.8,12.8,34.8,47.4,12397,24189,92935,13857
E06000043,531607.1467204981,106524.40564528712,Brighton and Hove,1.3,4.3,12.6,33.1,48.7,18422,28832,79077,12960
E06000044,465010.3090363575,102750.33054064724,Portsmouth,1.3,4.4,14.3,35.5,44.4,10778,19757,57812,9440
E06000045,442379.98573525983,113232.2561905586,Southampton,1.4,4.6,14.2,35.9,43.9,12460,23005,71148,11615
E06000046,449777.6011708574,86461.00318633123,Isle of Wight,1.3,4.5,14.3,36.1,43.8,7253,14579,30756,5322
E06000047,410447.36734120175,533388.6672199961,County Durham,1.7,5.6,15.2,33.9,43.7,19900,43468,137147,21703
E06000049,376729.2501509493,364874.2533691161,Cheshire East,1.0,3.4,11.4,32.9,51.3,19795,35764,114307,22621
E06000050,350917.5082754525,367255.4509941428,Cheshire West and Chester,1.1,3.9,12.2,33.1,49.6,17164,32873,101055,17996
E06000051,350424.02619425004,304419.64467803505,Shropshire,1.0,3.5,12.1,33.9,49.6,16243,31647,83886,20647
E06000052,199169.45004498353,59974.84030021996,Cornwall,1.3,4.3,13.2,32.9,48.3,31272,59540,134022,29413
E06000053,91548.78925781896,11144.392652832152,Isles of Scilly,0.8,2.5,9.1,31.0,56.6,134,212,597,171
E06000054,403932.13762579754,155303.1291335776,Wiltshire,0.8,3.2,11.6,34.0,50.5,26840,47964,146830,30711
E06000055,504238.87751578726,255654.58136739852,Bedford,1.0,3.7,12.6,35.7,46.9,8812,16011,55968,10074
E06000056,507413.8852901257,235393.41703308656,Central Bedfordshire,0.9,3.1,11.7,34.9,49.4,14636,25790,92934,17718
E06000057,395886.2760124516,594160.4270803533,Northumberland,1.2,4.3,13.9,33.8,46.8,14253,30161,80360,16003
E06000058,408370.2800318416,94131.26473878318,"Bournemouth, Christchurch and Poole",1.1,3.9,12.6,34.1,48.4,21877,38598,107607,17950
E06000059,376581.3575222189,100771.3610103646,Dorset,0.9,3.3,12.0,34.5,49.2,21420,36955,89075,20327
E06000060,482080.82394853525,210240.60384916063,Buckinghamshire,0.7,2.6,10.5,33.7,52.5,30598,47499,157932,37207
E06000061,493494.7139342385,281666.75677258184,North Northamptonshire,1.1,4.0,13.6,36.2,45.1,15223,31446,111942,20244
E06000062,465908.76431669464,258722.39703766524,West Northamptonshire,0.9,3.5,12.3,35.6,47.6,19541,37514,134486,24454
E07000008,545771.721203226,257755.34078633777,Cambridge,1.0,3.3,11.9,33.2,50.7,7812,10913,43695,8179
E07000009,556467.5096486296,274111.72631673835,East Cambridgeshire,0.8,3.1,12.1,35.2,48.8,4439,8120,26448,5688
E07000010,539808.9076624373,298085.05354011693,Fenland,1.3,4.7,15.0,37.5,41.5,4219,8570,28284,6035
E07000011,521229.1959030381,276571.98715407075,Huntingdonshire,0.9,3.3,12.0,35.7,48.1,8458,15714,56584,10635
E07000012,542446.5216468339,254793.3988769893,South Cambridgeshire,0.8,2.6,10.7,34.0,51.9,8202,14550,49901,9614
E07000026,319764.9616428849,535835.5226389009,Allerdale,1.2,4.2,13.5,33.5,47.7,4483,9575,25309,4868
E07000027,320833.26436141174,470657.7037492935,Barrow-in-Furness,1.5,5.4,14.4,34.4,44.3,2666,6593,19866,2058
E07000028,348339.4558969321,564335.950784442,Carlisle,1.2,4.3,13.4,34.4,46.7,5211,11750,29990,5999
E07000029,310945.2558918304,502927.62717641407,Copeland,1.4,4.9,14.3,32.6,46.8,2530,5873,19710,2457
E07000030,359951.8390690163,524355.2813030712,Eden,0.8,3.0,11.4,33.8,51.0,3418,5666,13443,4808
E07000031,344715.4667956561,488873.4707371261,South Lakeland,0.8,2.8,10.7,33.2,52.6,6634,10803,26675,6025
E07000032,435844.3092303977,348157.1381198792,Amber Valley,1.1,4.1,13.6,35.0,46.2,5916,11784,36026,6445
E07000033,448356.47190017375,368916.60614799376,Bolsover,1.7,5.9,15.8,34.2,42.4,3137,7497,23380,4086
E07000034,440049.7128465124,373317.6704308916,Chesterfield,1.5,5.4,15.8,34.6,42.7,4599,10380,28101,4452
E07000035,420548.1010862918,359064.69318614365,Derbyshire Dales,0.8,3.0,11.3,32.7,52.2,4380,7204,16633,5011
E07000036,443984.23945185414,337731.588062791,Erewash,1.2,4.3,14.2,35.2,45.1,5066,10666,34065,5170
E07000037,408490.81657208,386272.100057106,High Peak,1.0,3.6,12.5,33.6,49.2,4701,9280,25786,4847
E07000038,436969.58032874967,370027.82175898826,North East Derbyshire,1.3,4.6,14.1,33.8,46.3,4598,10064,26835,5066
E07000039,429750.9463629315,326000.5674846273,South Derbyshire,1.0,3.7,13.0,34.7,47.6,4638,9680,33110,6478
E07000040,313793.61355260573,96773.65634776896,East Devon,0.8,3.2,11.3,33.8,50.9,8359,15195,35143,8030
E07000041,293498.85658267135,92446.82989129779,Exeter,1.2,4.0,12.6,33.5,48.8,7394,12409,34634,5263
E07000042,290587.2466970216,109636.208081868,Mid Devon,1.0,3.4,12.2,34.5,48.9,4586,8779,21569,5348
E07000043,265966.01991509047,131781.9038544981,North Devon,1.1,3.9,12.4,33.0,49.7,5651,10598,23636,5278
E07000044,270441.9076113456,54203.176202592105,South Hams,1.0,3.3,10.8,31.5,53.4,5884,9444,20077,5180
E07000045,282847.6929926659,79820.99893932689,Teignbridge,1.0,3.7,12.3,33.9,49.1,7295,14271,33592,6979
E07000046,241934.48443519376,112002.90412255366,Torridge,1.1,4.1,13.2,33.7,48.0,3842,7334,14726,4151
E07000047,255464.97312517004,85999.88194934034,West Devon,1.0,3.6,12.4,33.4,49.6,3397,5685,12630,3672
E07000061,559820.5832236747,99749.00221008855,Eastbourne,1.3,4.5,14.0,35.2,45.0,5204,9699,24787,4141
E07000062,580948.792144946,110922.48114998716,Hastings,1.7,5.4,15.3,35.1,42.5,4740,9470,22762,3926
E07000063,541165.6791252621,111027.28863768536,Lewes,1.0,3.8,12.6,34.2,48.4,5929,9920,23936,4722
E07000064,578406.347915333,119997.41093277362,Rother,1.0,3.8,12.8,34.7,47.6,5203,8422,19656,4653
E07000065,554434.1020993439,120963.91734988976,Wealden,0.8,3.0,11.0,33.8,51.4,10015,15432,39472,9624
E07000066,570898.2366052896,190820.66350796833,Basildon,1.3,4.1,13.1,35.0,46.5,9070,15966,53719,10256
E07000067,578133.2041698649,230214.21529011324,Braintree,0.9,3.4,12.5,35.7,47.4,8594,14371,43700,9619
E07000068,560002.1307488795,195830.85098900256,Brentwood,0.9,2.8,10.2,31.9,54.3,4223,6165,21744,5771
E07000069,579977.5473453142,185126.3120406632,Castle Point,1.1,3.8,12.4,34.7,48.1,4575,8095,23564,4772
E07000070,571459.0087553605,205873.6466931519,Chelmsford,0.8,2.8,11.1,34.1,51.2,9697,16139,52813,11213
E07000071,597076.2388524867,223203.1048866397,Colchester,1.0,3.4,12.4,35.5,47.7,10351,18113,52560,10992
E07000072,548522.8157962593,203300.26815865608,Epping Forest,1.0,3.1,11.1,33.0,51.8,7815,11819,37039,9123
E07000073,545615.662800198,209915.84500281975,Harlow,1.3,4.5,14.4,35.5,44.3,4390,8493,28620,4478
E07000074,592438.007346116,204833.7223525237,Maldon,0.9,3.3,11.8,34.6,49.3,4057,6042,16921,4236
E07000075,594745.5298363997,191781.59193512276,Rochford,0.8,3.0,11.3,34.1,50.7,4810,7651,23225,4972
E07000076,614572.330763055,223774.21727353157,Tendring,1.5,5.1,14.7,35.2,43.5,6940,13218,31130,6993
E07000077,556817.0579248144,228704.64162413104,Uttlesford,0.7,2.4,9.9,32.9,54.1,5694,8404,25062,6581
E07000078,395078.3791454695,221978.217376936,Cheltenham,0.9,3.1,11.6,33.8,50.6,6458,11696,35580,5423
E07000079,407473.8149173218,213071.09809145465,Cotswold,0.7,2.6,10.2,33.0,53.6,5824,8364,23598,6292
E07000080,366314.63156637695,214544.00425949183,Forest of Dean,1.1,3.8,12.8,35.0,47.2,4698,8248,22316,4728
E07000081,383528.22874908394,216837.39722661665,Gloucester,1.1,4.2,13.8,35.9,44.9,5956,13558,40563,5544
E07000082,379360.35862487537,203475.806617552,Stroud,0.8,3.0,11.6,34.2,50.4,7237,12590,33708,6384
E07000083,394038.5644639777,227458.33447473467,Tewkesbury,0.8,2.9,11.4,34.2,50.6,4548,9244,27898,4832
E07000084,455815.9574674024,153003.64552792054,Basingstoke and Deane,0.8,3.1,11.7,35.4,49.0,8743,15390,62171,10669
E07000085,473318.2446945172,131077.50458829245,East Hampshire,0.6,2.6,10.5,33.9,52.3,7267,11612,34697,8156
E07000086,447332.97862935776,115066.1931893212,Eastleigh,0.8,3.0,11.7,35.1,49.4,6892,13597,41562,7466
E07000087,454572.48182074714,106164.58642127852,Fareham,0.7,2.8,11.0,34.7,50.8,5688,10652,33204,6087
E07000088,459364.51276470063,100993.81523668428,Gosport,1.0,4.2,14.4,36.5,43.8,3585,7635,23135,4131
E07000089,476959.88885841216,154529.8795281053,Hart,0.6,2.2,9.3,33.1,54.8,5296,8436,29759,6954
E07000090,471224.63985132234,104844.16851238874,Havant,1.1,4.0,13.4,35.4,46.1,5916,11992,32705,5755
E07000091,426464.9272115108,106633.20282623453,New Forest,0.8,3.0,11.3,34.3,50.5,10149,16599,42621,9333
E07000092,486070.75769669656,153518.0272056889,Rushmoor,0.9,3.4,13.1,35.5,47.1,4560,8689,34125,5641
E07000093,434311.52865406853,136665.04335839444,Test Valley,0.8,2.9,11.0,34.3,51.0,6591,11983,39188,8102
E07000094,454713.99772844714,125706.45990629974,Winchester,0.7,2.6,10.0,33.1,53.6,7594,11335,32954,8690
E07000095,534902.1052149421,204647.31152551356,Broxbourne,1.0,3.5,12.3,34.4,48.7,5104,9143,28778,5281
E07000096,500756.08979856176,209858.30098056537,Dacorum,0.8,3.2,11.5,33.8,50.7,8384,14010,45046,9759
E07000098,518974.6993739623,199024.75061735368,Hertsmere,0.9,3.1,11.1,32.6,52.3,6468,9593,29693,7012
E07000099,524293.2269385792,230522.92517055105,North Hertfordshire,0.8,3.0,11.5,34.4,50.3,6904,11953,40500,7801
E07000102,506562.31486054626,196946.8501031506,Three Rivers,0.8,2.8,10.7,32.9,52.8,5174,8308,27041,6425
E07000103,510552.5301257357,197802.5909067049,Watford,1.0,3.6,12.4,34.7,48.2,5061,9246,32858,5694
E07000105,596857.6011277633,139968.28191236177,Ashford,1.0,3.6,12.6,35.0,47.8,6754,11838,36702,8321
E07000106,616375.1705277448,158358.71671400632,Canterbury,1.1,3.9,12.8,34.7,47.5,9225,13838,35357,7744
